,0
298,FITTING VENT AL-MT 313650
299,BUSHING RED PKR NPT.38 X .25  PTR-S
300,ELBOW F PKR NPT .38 X 45 STL./ DD45-S
301,TRICO OILER NO.05 08 OZ
302,NIPPLE 1/4 X 2.25 SC80 STL
303,NIPPLE 3/8 X 1.00 SC80 STL
304,NIPPLE 3/8 X 2 SC80
305,NIPPLE 3/8 X 2 1/2 SC80
306,NIPPLE 3/8 X 1.75 SC80
307,PIPE PLUG .50 SQ HD STL
308,PIPE PLUG .38 SQ HD STL
309,PIPE PLUG .50 SQ HD SST
310,BUSHING RED HEX NPT .50 X .38
311,BUSHING RED CAJ NPT.50 X .38 STL
312,OIL LEVEL GAUGE
313,PIPING TRICO LEVEL GAGE EXHAUST 19
314,NIPPLE M HEX PKR NPT .38 STL
315,SOLEPLATE RLH19 VERT & HORIZ JCRS SD BL
316,HHCS 1/2-13UNC-2A X 1.25 GR5
317,HHCS 1-8UNC-2A X 2.00 GR5
318,SQHSS 1/2-13UNC-2A X 3.50 STL
319,SOLEPLATE A19 PED JSCR SD BLST EPOXY PNT
320,SOLEPLATE A19 FLEX SD BLST EPOXY PNT
321,GASKET COMPOUND TJ-II NON-ABS 1/2P
322,PIPE PLUG 2.0-11.5 STL
323,"SENTINEL WARNING VALVE SST 85 PSIG  3/4"""
324,WDWD GOVERNOR TG13 CW 1100-2400
325,COUPLING LVJOY AL-075 0.50 X 0.875
326,LAGGING BLANKET LH RLHA 19 INL
327,LAGGING BLANKET 4CVB
328,ASCO SOLENOID 24VDC D-ENRGZ NO COPPER
329,TACHOMETER DYN SPD100-227 60T M202
330,COVER HOUSING MOUNTING RLHA & 23E
331,LABYRINTH SEAL HA19 STANDARD
332,TBG RD 4.000 OD X 2.000 ID BRZ
333,NAMEPLATE 169 SPANISH METRIC
334,OIL RING .250 X 4.250 OD
335,ROTATION ARROW CW
336,Assembly 00H6071
337,BEARING HOUSING A24-28 INL TRICO
338,HHCS 1/2-13UNC-2A X 3.62 G8
339,BRG HOUSING LOWER INLET END SPCL
340,HSG BRG LW INL A24-8 A6026B CI
341,CAP BRG HOUSING INLET END SPCL
342,BRG HSG CP INL A24-8 A3206E CI
343,BEARING HOUSING A24-28 EXH TRICO
344,BRG HOUSING LOWER EXHAUST END
345,HSG BRG EX LW A24-28 A6028F  CI
346,CAP BEARING HOUSING EXH A24 6 BOLT
347,CAP BRG HSG A24-28 EXHAUST END A3207-6
348,4PC A28 RH 202 6X10 150RF03 B7 WCB EXT
349,HDWARE 2PC 24/28 B7
350,HHCS 3/4-10UNC-2A X 2.75 B7 FIN. HEAD
351,HHCS 3/4-10UNC-2A X 4.50 B7 FINISHED HD
352,HDWARE PEDESTAL 24/28 STD
353,NUT HEX 1.00-8UNC-2B GR8
354,STUD 1.00-08 X 6.50
355,HDWARE 3PC 24/28 B7
356,PED MTG A3197 CI A48 CL30
357,CSG EXH 24/28 RH 0-105 WCB SA3193MA
358,COV 24/28 0-105 WCB SA3198MA
359,"CSG INL 24/28 6"" 0-150 WCB SA4038MR"
360,MOUNTING HOUSING DD TACH RLH INPRO/MAG
361,HOUSING MTG DD .62 PU INPRO
362,SECTOR ASSY A28 SPNC .75NOZ BRCH
363,SECTOR A28 MACH .75
364,SCTR RING MACH 28 SPNC
365,BUCKET BRO .75 SPNC STA 403SS
366,SHROUD BAND SECTOR 28 BRCH
367,SECTOR ASSY A28 SPNC .75NOZ BRCH EXT
368,SECTOR EXTENDED 3/4 IN
369,SECTOR RING EXTENDED BLOCK
